date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/5/2010,san-francisco-giants,milwaukee-brewers,50.97%,-104,104,121,-140,25,44,$100,$121.00,$221.00,$100,$71.43,$0,$100,$121.00,$221.00,$100,$121.00,$221.00,$100,$121.00,$221.00,,,
7/5/2010,new-york-yankees,oakland-athletics,57.08%,-133,133,-153,131,20,2,$100,$65.36,$165.36,$100,$65.36,$165.36,,,,,,,,,,,,
,,,,,,,,,,$1000,$500.83,50.08%,$1000,-$213.17,-21.32%,$900,$322.00,35.78%,$300,$414.00,138.00%,$300,$414.00,138.00%,$200,$85.00,42.50%
7/6/2010,chicago-cubs,arizona-diamondbacks,53.79%,-116,116,-113,-103,3,19,$100,$88.50,$188.50,$100,$88.50,$188.50,$100,$88.50,$188.50,$100,$88.50,$188.50,,,,,,
7/6/2010,atlanta-braves,philadelphia-phillies,-50.90%,104,-104,117,-136,13,32,$100,$73.53,$0,$100,$73.53,$0,$100,$117.00,$217.00,,,,,,,,,
7/6/2010,baltimore-orioles,detroit-tigers,-62.07%,164,-164,170,-200,6,36,$100,$50.00,$150.00,$100,$50.00,$150.00,$100,$170.00,$0,,,,,,,,,
7/6/2010,boston-red-sox,tampa-bay-rays,-52.53%,111,-111,127,-149,16,38,$100,$67.11,$167.11,$100,$67.11,$167.11,$100,$127.00,$0,,,,,,,,,
7/6/2010,los-angeles-angels,chicago-white-sox,-52.04%,109,-109,-113,-104,22,5,$100,$96.15,$196.15,$100,$88.50,$0,$100,$96.15,$196.15,$100,$96.15,$196.15,,,,,,
7/6/2010,cincinnati-reds,new-york-mets,-50.27%,101,-101,162,-185,61,84,$100,$54.05,$154.05,$100,$54.05,$154.05,$100,$162.00,$0,,,,,,,$100,$162.00,$0
7/6/2010,cleveland-indians,texas-rangers,-60.12%,151,-151,191,-227,40,76,$100,$44.05,$144.05,$100,$44.05,$144.05,$100,$191.00,$0,,,,,,,,,
7/6/2010,pittsburgh-pirates,houston-astros,-55.03%,122,-122,129,-151,7,29,$100,$66.23,$166.23,$100,$66.23,$166.23,$100,$129.00,$0,,,,,,,,,
7/6/2010,kansas-city-royals,seattle-mariners,52.73%,-112,112,-151,129,39,17,$100,$66.23,$166.23,$100,$66.23,$166.23,$100,$129.00,$0,,,,,,,,,
7/6/2010,san-francisco-giants,milwaukee-brewers,54.92%,-122,122,121,-140,43,62,$100,$121.00,$221.00,$100,$71.43,$0,$100,$121.00,$221.00,$100,$121.00,$221.00,$100,$121.00,$221.00,,,
7/6/2010,minnesota-twins,toronto-blue-jays,53.58%,-115,115,-135,117,20,2,$100,$74.07,$174.07,$100,$74.07,$174.07,$100,$117.00,$0,,,,,,,,,
7/6/2010,new-york-yankees,oakland-athletics,57.40%,-135,135,-149,129,14,6,$100,$67.11,$167.11,$100,$67.11,$167.11,,,,,,,,,,,,
7/6/2010,san-diego-padres,washington-nationals,58.30%,-140,140,-117,100,23,40,$100,$85.47,$0,$100,$85.47,$0,$100,$85.47,$0,$100,$85.47,$0,,,,,,
,,,,,,,,,,$1300,$594.51,45.73%,$1300,$177.36,13.64%,$1200,-$377.35,-31.45%,$400,$205.65,51.41%,$100,$121.00,121.00%,$100,-$100.00,-100.00%
7/7/2010,chicago-cubs,arizona-diamondbacks,54.15%,-118,118,-108,-108,10,26,$100,$92.59,$192.59,$100,$92.59,$0,$100,$92.59,$192.59,$100,$92.59,$192.59,,,,,,
