date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
7/5/2016,Kansas-City-Royals,Toronto-Blue-Jays,-56.0%,127,-127,140,-160,13,33,$100,$140,$0,,,,,,,,,
7/5/2016,Los-Angeles-Angels,Tampa-Bay-Rays,-52.3%,109,-109,135,-155,26,46,$100,$135,$235,,,,,,,,,
7/5/2016,Miami-Marlins,New-York-Mets,-53.7%,116,-116,140,-160,24,44,$100,$140,$240,,,,,,,,,
7/5/2016,Milwaukee-Brewers,Washington-Nationals,-60.5%,154,-154,140,-160,14,6,$100,$64.6,$0,,,,,,,,,
7/5/2016,New-York-Yankees,Chicago-White-Sox,-53.6%,115,-115,-114,104,29,19,$100,$104,$0,$100,$104,$0,$100,$104,$0,,,
7/5/2016,Oakland-Athletics,Minnesota-Twins,54.5%,-120,120,-108,-102,12,22,$100,$92.6,$0,$100,$92.6,$0,,,,,,
7/5/2016,Pittsburgh-Pirates,St.-Louis-Cardinals,-52.3%,110,-110,147,-162,37,52,$100,$147,$247,,,,,,,,,
7/5/2016,San-Diego-Padres,Arizona-Diamondbacks,54.8%,-121,121,130,-140,51,61,$100,$130,$0,$100,$130,$0,$100,$130,$0,$100,$130,$0
7/5/2016,Seattle-Mariners,Houston-Astros,-52.6%,112,-112,135,-155,23,43,$100,$135,$0,,,,,,,,,
7/5/2016,Texas-Rangers,Boston-Red-Sox,52.8%,-112,112,165,-190,77,102,$100,$170,$270,$100,$170,$270,$100,$170,$270,$100,$170,$270
,,,,,,,,,,$1500,$310.4,20.7%,$600,-$136.6,-22.77%,$300,-$30,-10%,$400,$495,123.8%
7/6/2016,Atlanta-Braves,Philadelphia-Phillies,-55.5%,125,-125,147,-162,22,37,$100,$147,$0,,,,,,,,,
7/6/2016,Baltimore-Orioles,Los-Angeles-Dodgers,-56.8%,132,-132,105,-115,27,17,$100,$87,$0,$100,$87,$0,,,,,,
7/6/2016,Cincinnati-Reds,Chicago-Cubs,-61.3%,158,-158,158,-173,0,15,$100,$158,$258,,,,,,,,,
7/6/2016,Colorado-Rockies,San-Francisco-Giants,-56.7%,131,-131,190,-220,59,89,$100,$190,$0,,,,,,,$100,$190,$0
7/6/2016,Detroit-Tigers,Cleveland-Indians,-57.0%,132,-132,115,-125,17,7,$100,$80,$0,$100,$80,$0,,,,,,
7/6/2016,Kansas-City-Royals,Toronto-Blue-Jays,-56.9%,132,-132,160,-175,28,43,$100,$160,$0,,,,,,,,,
7/6/2016,Los-Angeles-Angels,Tampa-Bay-Rays,52.2%,-109,109,140,-155,49,64,$100,$140,$240,$100,$140,$240,$100,$140,$240,$100,$140,$240
7/6/2016,Miami-Marlins,New-York-Mets,-53.4%,115,-115,170,-190,55,75,$100,$170,$0,,,,,,,$100,$170,$0
7/6/2016,Milwaukee-Brewers,Washington-Nationals,-60.1%,151,-151,173,-193,22,42,$100,$173,$0,,,,,,,,,
7/6/2016,New-York-Yankees,Chicago-White-Sox,-52.4%,110,-110,-142,132,52,42,$100,$132,$232,$100,$132,$232,$100,$132,$232,,,
7/6/2016,Oakland-Athletics,Minnesota-Twins,51.0%,-104,104,-105,-105,,,,,,,,,,,,,,
7/6/2016,Pittsburgh-Pirates,St.-Louis-Cardinals,-51.7%,107,-107,142,-157,35,50,$100,$142,$242,,,,,,,,,
7/6/2016,San-Diego-Padres,Arizona-Diamondbacks,53.3%,-114,114,133,-143,47,57,$100,$133,$233,$100,$133,$233,$100,$133,$233,$100,$133,$233
7/6/2016,Seattle-Mariners,Houston-Astros,-56.0%,128,-128,127,-137,1,9,,,,,,,,,,,,
7/6/2016,Texas-Rangers,Boston-Red-Sox,53.2%,-114,114,143,-158,57,72,$100,$143,$0,$100,$143,$0,$100,$143,$0,$100,$143,$0
,,,,,,,,,,$1300,-$95,-7.31%,$600,$105,17.5%,$400,$305,76.25%,$500,-$27,-5.4%
7/7/2016,Los-Angeles-Angels,Tampa-Bay-Rays,53.2%,-114,114,100,-110,14,24,$100,$100,$200,$100,$100,$200,,,,,,
7/7/2016,Pittsburgh-Pirates,St.-Louis-Cardinals,-50.5%,102,-102,135,-150,33,48,$100,$135,$0,,,,,,,,,
7/7/2016,Detroit-Tigers,Toronto-Blue-Jays,-53.4%,115,-115,105,-115,10,0,$100,$87,$187,,,,,,,,,
7/7/2016,Washington-Nationals,New-York-Mets,-50.4%,101.5,-101.5,-101,-109,,,,,,,,,,,,,,
7/7/2016,New-York-Yankees,Cleveland-Indians,-58.2%,139,-139,137,-152,,,,,,,,,,,,,,
7/7/2016,Minnesota-Twins,Texas-Rangers,-61.2%,158,-158,110,-120,48,38,$100,$83.3,$0,$100,$83.3,$0,,,,,,
7/7/2016,Atlanta-Braves,Chicago-Cubs,-61.2%,158,-158,,,,,,,,,,,,,,,,
7/7/2016,Oakland-Athletics,Houston-Astros,-57.1%,133,-133,110,-120,23,13,$100,$83.3,$0,$100,$83.3,$0,,,,,,
7/7/2016,Seattle-Mariners,Kansas-City-Royals,-57.3%,134,-134,122,-132,12,2,$100,$75.8,$175.8,$100,$75.8,$175.8,,,,,,
7/7/2016,Philadelphia-Phillies,Colorado-Rockies,-50.1%,100,-100,162,-177,62,77,$100,$162,$0,$100,$162,$0,$100,$162,$0,$100,$162,$0
7/7/2016,San-Diego-Padres,Los-Angeles-Dodgers,-57.5%,135,-135,123,-133,12,2,$100,$75.2,$0,$100,$75.2,$0,,,,,,
,,,,,,,,,,$800,-$237.2,-29.65%,$600,-$224.2,-37.37%,$100,-$100,-100%,$100,-$100,-100%
