date,away_team,home_team,algo_proj,away_proj,home_proj,away_odds,home_odds,diff_away,diff_home,strat_00_bet,strat_00_to_win,strat_00_won,strat_01_bet,strat_01_to_win,strat_01_won,strat_1_bet,strat_1_to_win,strat_1_won,strat_2_bet,strat_2_to_win,strat_2_won,strat_3_bet,strat_3_to_win,strat_3_won,strat_4_bet,strat_4_to_win,strat_4_won
,,,,,,,,,,$900,$120.95,13.44%,$900,$120.95,13.44%,$700,-$45.03,-6.43%,$200,$173.97,86.98%,$0,$0.00,0%,$0,$0.00,0%
7/7/2009,san-diego-padres,arizona-diamondbacks,-51.55%,106,-106,131,-156,25,50,$100,$64.10,$164.10,$100,$64.10,$164.10,$100,$131.00,$0,,,,,,,,,
7/7/2009,atlanta-braves,chicago-cubs,-56.61%,130,-130,-111,-108,41,22,$100,$92.59,$0,$100,$90.09,$190.09,$100,$92.59,$0,$100,$92.59,$0,,,,,,
7/7/2009,baltimore-orioles,seattle-mariners,-58.06%,138,-138,120,-142,18,4,$100,$70.42,$0,$100,$70.42,$0,,,,,,,,,,,,
7/7/2009,oakland-athletics,boston-red-sox,-58.59%,141,-141,216,-256,75,115,$100,$39.06,$139.06,$100,$39.06,$139.06,$100,$216.00,$0,,,,,,,$100,$216.00,$0
7/7/2009,cleveland-indians,chicago-white-sox,-54.56%,120,-120,138,-166,18,46,$100,$60.24,$160.24,$100,$60.24,$160.24,$100,$138.00,$0,,,,,,,,,
7/7/2009,cincinnati-reds,philadelphia-phillies,-57.20%,134,-134,122,-144,12,10,$100,$69.44,$0,$100,$69.44,$0,,,,,,,,,,,,
7/7/2009,kansas-city-royals,detroit-tigers,-57.36%,135,-135,184,-222,49,87,$100,$45.05,$145.05,$100,$45.05,$145.05,$100,$184.00,$0,,,,,,,$100,$184.00,$0
7/7/2009,pittsburgh-pirates,houston-astros,-55.06%,123,-123,102,-123,21,0,$100,$81.30,$0,$100,$81.30,$0,,,,,,,,,,,,
7/7/2009,texas-rangers,los-angeles-angels,-52.53%,111,-111,148,-175,37,64,$100,$57.14,$0,$100,$57.14,$0,$100,$148.00,$248.00,,,,,,,,,
